build_time_min,deploy_time_min,commit_size_loc,num_bugs,test_coverage_pct,ticket_resolution_h,team,module,priority,deploy_status
20.483833788586672,8.142444873125305,371,4,73.18009903188795,37.727422309885604,Charlie,auth,baja,success
12.741207314415645,9.94058005196682,346,4,93.67282933788374,9.118716940283775,Charlie,database,baja,success
16.452513645349356,8.620070503269918,347,0,77.8994069120381,5.596038249628663,Alpha,auth,baja,success
17.531450419844163,7.7209028750273845,363,0,68.74451306299306,20.0235512079363,Alpha,api,media,success
16.617073292563997,7.347377731547729,319,2,82.58725496358238,7.339843422174454,Alpha,database,crítica,success
14.575501935634064,7.762380986309791,363,1,53.80042226752266,21.66729573804646,Alpha,auth,media,success
21.046087989755755,9.787117786491127,378,3,77.08799860905856,74.97781973673936,Delta,api,baja,success
14.62136384634761,8.422229021320012,364,1,64.0685872209724,76.7198265154564,Charlie,api,baja,failed
23.073694855508165,7.022440412329219,338,1,94.34665930340998,9.330620348453522,Alpha,auth,crítica,success
14.749143603790316,7.559256149789906,325,4,66.2114950409159,6.974499128758907,Bravo,auth,crítica,success
20.21947861689394,3.4075084397949755,358,2,72.29080972028896,35.158440286223104,Charlie,ui,alta,success
24.14658157080443,8.553824552469084,385,0,65.58822643361054,66.22544561024037,Charlie,ui,baja,success
9.444557195550644,9.94763253479378,347,2,67.62874101870693,22.237345283162615,Alpha,database,baja,success
13.884844932730514,5.726811478362881,348,2,94.26576780853793,2.420733992565454,Charlie,api,baja,success
14.466714654425369,8.192164269703538,321,3,56.755837289383635,15.095282904803753,Bravo,api,baja,success
17.543801592280296,7.029300527701774,334,1,85.30321525176987,26.853583662693794,Alpha,ui,media,failed
13.86298831433571,6.423201946375946,356,3,64.40715711098164,15.093445502221584,Charlie,database,media,rolled_back
4.374178316380897,8.17567970819557,370,3,57.1761916403193,1.3530747592449188,Charlie,api,baja,success
5.238132285697922,6.515308127496801,353,1,83.03139590891078,6.105209067463875,Alpha,auth,baja,success
20.28045338292077,7.845286586923771,365,1,74.84053728636354,2.5996293648974502,Charlie,database,alta,success
13.773445623686102,10.646545629106292,348,2,91.99363398714922,0.9824552983045578,Charlie,database,crítica,success
7.87476626408,4.597076163449736,350,4,53.936228869715706,1.546130608767271,Charlie,ui,alta,success
14.312330576961514,6.653043750946807,360,1,58.89041753136553,56.65871505136815,Alpha,auth,baja,success
19.858698796690394,7.140586575481569,350,7,57.18823731527664,27.484759970491226,Alpha,database,media,success
22.58077384505986,10.495737688032502,343,4,65.7347446680069,9.24531464651227,Delta,api,media,failed
